setID,number,numberVariant,name,year,theme,themeGroup,subtheme,category,released,image/thumbnailURL,image/imageURL,bricksetURL,collections/ownedBy,collections/wantedBy,LEGOCom/US/retailPrice,LEGOCom/US/dateFirstAvailable,LEGOCom/CA/retailPrice,LEGOCom/CA/dateFirstAvailable,rating,reviewCount,packagingType,availability,instructionsCount,additionalImageCount,lastUpdated,pieces,ageRange/min,dimensions/height,dimensions/width,dimensions/depth,dimensions/weight,barcode/EAN,minifigs,LEGOCom/UK/retailPrice,LEGOCom/UK/dateFirstAvailable,LEGOCom/DE/retailPrice,LEGOCom/DE/dateFirstAvailable,barcode/UPC,LEGOCom/US/dateLastAvailable,LEGOCom/CA/dateLastAvailable,LEGOCom/UK/dateLastAvailable,LEGOCom/DE/dateLastAvailable,ageRange/max
29935,41904,1,Animal Picture Holders,2020,Dots,Art and crafts,Accessories,Normal,TRUE,https://images.brickset.com/sets/small/41904-1.jpg,https://images.brickset.com/sets/images/41904-1.jpg,https://brickset.com/sets/41904-1,1089,207,14.99,2020-03-01T00:00:00Z,19.99,2020-03-01T00:00:00Z,3.6,0,Plastic canister,Retail,2,3,2020-09-09T15:16:46.123Z,423,6,22.3,22.3,5,,5702016668643,,12.99,2020-03-01T00:00:00Z,14.99,2020-03-05T00:00:00Z,673419321778,2021-02-26T00:00:00Z,2021-02-26T00:00:00Z,2021-03-14T00:00:00Z,2021-03-15T00:00:00Z,
29773,45029,1,Animals,2020,Education,Educational,Duplo,Normal,TRUE,https://images.brickset.com/sets/small/45029-1.jpg,https://images.brickset.com/sets/images/45029-1.jpg,https://brickset.com/sets/45029-1,14,151,,,,,0,0,{Not specified},{Not specified},0,0,2020-04-22T20:56:43.65Z,91,,,,,,,,,,,,,,,,,
29720,43175,1,Anna and Elsa's Storybook Adventures,2020,Disney,Licensed,Storybook Adventures,Normal,TRUE,https://images.brickset.com/sets/small/43175-1.jpg,https://images.brickset.com/sets/images/43175-1.jpg,https://brickset.com/sets/43175-1,1276,305,19.99,2020-01-02T00:00:00Z,24.99,2020-01-02T00:00:00Z,4.2,0,Box,Retail,2,5,2020-09-28T12:29:26.55Z,133,5,19.1,20.5,6.1,0.24,5702016618617,4,17.99,2019-12-26T00:00:00Z,19.99,2019-12-26T00:00:00Z,673419319683,,,,,
31140,11943,1,Ant,2020,Creator,Model making,Magazine Gift,Other,TRUE,https://images.brickset.com/sets/small/11943-1.jpg,https://images.brickset.com/sets/images/11943-1.jpg,https://brickset.com/sets/11943-1,327,125,,,,,0,1,Polybag,Retail - limited,0,0,2020-11-29T03:58:19.997Z,25,7,,,,,,,,,,,,,,,,
29688,42109,1,App-Controlled Top Gear Rally Car,2020,Technic,Technical,,Normal,TRUE,https://images.brickset.com/sets/small/42109-1.jpg,https://images.brickset.com/sets/images/42109-1.jpg,https://brickset.com/sets/42109-1,1717,873,129.99,2019-12-07T00:00:00Z,179.99,2019-12-07T00:00:00Z,3.5,3,Box,Retail,2,10,2019-12-13T07:32:50.35Z,463,9,26.2,38.2,9.4,1.1,5702016617481,,124.99,2019-12-07T00:00:00Z,129.99,2019-12-11T00:00:00Z,673419318624,,,,,
29832,71026,3,Aquaman,2020,Collectable Minifigures,Miscellaneous,DC Super Heroes,Normal,TRUE,https://images.brickset.com/sets/small/71026-3.jpg,https://images.brickset.com/sets/images/71026-3.jpg,https://brickset.com/sets/71026-3,4012,503,4.99,,,,3.9,1,Foil pack,Retail,0,0,2020-09-22T08:55:58.15Z,8,5,15,9.5,0.7,0.01,,1,,,,,673419319362,,,,,
29721,43176,1,Ariel's Storybook Adventures,2020,Disney,Licensed,Storybook Adventures,Normal,TRUE,https://images.brickset.com/sets/small/43176-1.jpg,https://images.brickset.com/sets/images/43176-1.jpg,https://brickset.com/sets/43176-1,1106,323,19.99,2020-01-02T00:00:00Z,24.99,2020-01-02T00:00:00Z,0,1,Box,Retail,2,5,2020-09-28T12:28:57.473Z,105,5,19.1,20.5,6.1,0.23,5702016618624,3,17.99,2019-12-26T00:00:00Z,19.99,2019-12-26T00:00:00Z,673419319690,,,,,
30354,10922,1,Ariel's Undersea Castle,2020,Duplo,Pre-school,Disney Princess,Normal,TRUE,https://images.brickset.com/sets/small/10922-1.jpg,https://images.brickset.com/sets/images/10922-1.jpg,https://brickset.com/sets/10922-1,101,62,29.99,2020-08-24T00:00:00Z,39.99,2020-08-24T00:00:00Z,0,0,Box,Retail,2,11,2021-05-16T23:10:11.857Z,35,2,26.2,28.2,9.6,0.58,5702016618129,1,24.99,2020-06-01T00:00:00Z,29.99,2020-06-02T00:00:00Z,673419318891,,,,,
30553,75283,1,Armored Assault Tank (AAT),2020,Star Wars,Licensed,The Clone Wars,Normal,TRUE,https://images.brickset.com/sets/small/75283-1.jpg,https://images.brickset.com/sets/images/75283-1.jpg,https://brickset.com/sets/75283-1,8363,2424,39.99,2020-08-24T00:00:00Z,49.99,2020-08-24T00:00:00Z,4,9,Box,Retail,2,17,2020-08-01T00:35:54.273Z,286,7,0,0,0,0,5702016617276,4,34.99,2020-09-15T00:00:00Z,39.99,2020-10-04T00:00:00Z,673419318488,,,,,
30260,75288,1,AT-AT,2020,Star Wars,Licensed,Episode V,Normal,TRUE,https://images.brickset.com/sets/small/75288-1.jpg,https://images.brickset.com/sets/images/75288-1.jpg,https://brickset.com/sets/75288-1,5869,4106,159.99,2020-08-24T00:00:00Z,199.99,2020-08-24T00:00:00Z,4.5,6,Box,Retail,2,15,2020-08-01T00:36:24.853Z,1267,10,37.8,58.2,8.7,1.78,5702016617320,6,139.99,2020-08-01T00:00:00Z,149.99,2020-08-02T00:00:00Z,673419318532,,,,,
